,ProductName,ProductGroupName,DB,Server
0,COSTA M AMERICANO,COSTA,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
1,Jelly Pot,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
2,HARIBO TANGFAST,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
3,Real Wrap C,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
4,BUTTERED COB,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
5,CAKE  1.35,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
6,HOMEBAKE,DESSERT,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
7,V TEA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
8,3.50 MEAL DEAL,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
9,OHSO Toffee Snap,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
10,EXTRA STRONG MINTS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
11,Hash Brown Grab Bag,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
12,Soup & Roll,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
13,PENS,STATIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
14,SNICKERS,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
15,TALL MOCHA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
16,M Salted Caramel,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
17,CHOCOLATE TWIST,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
18,Garlic Bread,MAIN COURSE,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
19,OHSO Brownie ,BREAKFAST,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
20,V MOCHA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
21,COSTA P ICE LAT,COSTA ,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
22,TWIX / TWIX WHITE,CONFECTIONARY,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
23,G ICED TEA,STARBUCKS,MN00000001,oltp-prod-1.c9720j1ytny1.eu-west-1.rds.amazonaws.com
