,Exemplar,Cluster
0,Choc Bar,"B16 Macon Charn, Choc Bar, Doom Bar, Freshers Choc Bar, Tuna Crunch"
1,Tomato & Cheese Panini,"Bacon & Cheese Panini , Che & Oni Pasty (t), Cheese & Tomato Panini, Cheese & Tomtato Toastie, Cheese on Toast, Eat Real Lentil Chips Chilli & Lemon 40g, Frozen Chicken & Mushroom Pie with Peas, Ham & Cheese Ciabatta, Jacket Pot Cheese & Beans, Mozzarella & Tomato Panini  (V), Panini Ham & Cheese, Pimms & Lemonade , Porridge & Compote (v), Raspberry Jam Portion, Soho British Ham & Cheese Panini, Soho Cheese & Tomato Croissant, Tea & Croissant, Tiffin Vegan Pepperoni & Cheese Ciabatta, Tomato & Cheese, Tomato & Cheese Panini, Tuna & Cheese Panini"
2,Battered Sausage,"Baguette/Wrap, Barebells Salty Peanut SS, Battered Sausage, Beef and Mustard Mayo Baguette, Budweiser, Grab Bag, HD Add Syrups, Mars Bar 51g, Sausage Butty (X2 Saus), Sausage Side Order, Squash- Per Jug, Starburst Bag 141g, add Vegan Sausage "
3,Tanqueray Double,"""EveryDay"" Colour A2, Herbal Tea , Kraken Double, Lemon & Blueberry Loaf , Tanqueray Double, Tub - Double, Well Done "
4,Extra Jacket Fillings ,"Eat Natural bar cranberries 50g, Extra Jacket Fillings , Jacket Filling x2, Jacket Wedges , Relentless Original Energy Drink 500ml "
5,Battered Cod Hudds,"16oz Hot Water & Cup, Battered Cod Hudds, Burt's Crisps, CL Hoody Navy 3XL, Hot Boxes, Hot Water Cup, House Red Bottle , Lotus Biscoff Cream, Roasted Beetroot Currry, SB Grande Hot Choc"
6,cadburys caramel,"Andean Vineyards Malbec, Cadburys Twirl, Grenade salted caramel, Jelly Babies, cadburys caramel, raspberry & blackberry cooler small"
7,Malteser ,"Egg Tawa Masala, Feast , Hot Pastry Meal Deal, Malteser , Maltesers, Meat , Tetleys 440ml, Travel Mug, U fit large, Wlk Max Prka, ZZZZDessert 2, large breakfast "
8,Blue Lagoon Pitcher,"12 Inch Margherita, 8.Laurent Perrier Rose Bottle, Blackcurrant Cordial Large, Blue Lagoon Pitcher, Brown Sauce Portion, Lemon Ring Doughnut, Pork in Lime Burrito Bowl, Santa Luz Sauvignon Blanc Gls, Soho Butlers Mature Cheddar Ploughman's Sandwich, Spinach & Falafel Burger, ZZZ WP - Belgian Choc "
9,Filled Croissant,"Additional Cheese, Caledonia Best, Carvery roast dinner, Cordial Drink, Corned Beef salad, Costa Canned Vanilla Latte, Feel Good Drink, Filled Croissant, Fosters Half Pint , Free Range Egg Florentine, Fried Sweet Corn, Fried potato corinder, Fruit & Oat Cookie , Main Course Meat Minus Side, Medio Fruit Cooler, Old Fashioned, Orange  Cordial Glass, Pizza Foundry, Rador. Infusions, Standard Filled Roll, UOD Adult Family Fireworks"
10,M&M,"M&M, M&M's"
11,Black Pudding,"Adult Walk in, Black Pudding, Pudding"
12,Bacon Muffin,"Bacon Muffin, Gin & Tonic, Macaroon, Manc Barm, Mini Biscuits, Muffin"
13,VEGGIE BURGER,"FEVER TREE, FEVER TREE LIGHT, GINGER BEER, VEGGIE BURGER"
14,Corona 330ml,"750ml Ecantador Chardonnay, 7up can 330ml, Carling 500ml , Corona 330ml, East Coast IPA 500ml, Mini Con 50ml, Peroni 330ml"
15,Pipers Sea Salt,"Bitter Super Pint, Pastries, Pies & pasties, Pipers Sea Salt, PiriPiri Falafel Mezze, Premium spirit & liqueur, Roasted Pepper Pasta, Sleeveless Jumper, StIveCSApric45"
16,12oz Mocha,"12oz Iced Coffee, 12oz Mocha, Latte 12oz, Mayo, Mocha 12oz, Poncho for 2 MD"
17,20% Student Discount,"10% Seasonal Discount, 20% Student Discount, Food Discount, Saus / bacon baguette  £3.50"
18,Cappuccino Regular ,"* Discount Reporting Product, Americano Regular, CNC Machining (Open Price), Cappuccino Large , Cappuccino Regular , Cinnamon Roll Pupcorn, Cloudy Apple Juice, Coca-Cola Regular - Blik 33Cl, HD Cappuccino Regular, Heineken Half (+Eco cup), RadoxOilEucalyp, Raspberry & Coconut, Real Soup - Carrott & Coriander, Toffee frappuccino, Tropicana Original"
19,Skittles,"Skittles, Skittles sour, Steak"
20,Pepsi Max 330ml,"?3.50 special, Mixers Pour £0.6, Peps Maxi 200ml, Pepsi 500ml, Pepsi Max 330ml"
21,Smoked Salmon Muffin,"English muffin, Funtime Banana Flavoured Milk, Mulled Wine, Skimmed Milk 330ml, Smoked Ham on White, Smoked Salmon & Dill Quiche Salad, Smoked Salmon & Tomato Linguine, Smoked Salmon Muffin, Soya Milk 85ml, Sweet Idea Muffin"
22,TUNA MAYO POT,"CAPPUCCINO, JUNGBOMB, SOUP ONLY, TOMATO SOUP, TUNA MAYO POT"
23,Cake £1.20,"Cake Bar £2.00, Cake slice 1.00, Cake £1.20, Meal deal - £7.20, PCT 20%, Pizza 2.50, Tiffin E £2.80, Value Meal £1.99, £10"
24,Sweatshirt Green S,"Graze sharing, GreenPeas with Cumin rice, Rhubarb Gin , Strawberry Tart, Sweatshirt Green S, Sweatshirt Green XL, Sweatshirt Grey L, Sweatshirt Grey XL, Sweets £1, with Ginger Ale 200ml"
25,Sparkling Water 300ml,"BG301 - Severn & Wye Smoked Salmon & Lemon Dill Cr, Ballygowan Sparkling 750ml, Bottled Water - Sparkling, Capri Sun Blackcurrent 200ml, Lilt Zero Pineapple & Grape 330ml, Sesame Snaps 30g, Sparkling Water 300ml, Sparkling water, Vegetarian Wrap Meal, Walkers - Salt & Vinegar"
26,LARGE DIET COKE ,"COKE ZERO MIXER, COLD WRAP, CONFECTIONERY, CORDIAL MIXER 50ml, DAILY QUICHE £5.50, G/FREE CAKE, HALF DIET COKE, LARGE DIET COKE , PORRIDGE, YORKIE DUO"
27,Cappuccino S,"8oz Cappucino , Andomi soup, CC Cappuccino Medio, CF Tuna & SC & Cuc Mayo SW, Cappuccino, Cappuccino 12oz, Cappuccino S, Cappucino 16oz, Cin Syrup, Snack, Soup & Panini, Topic"
28,Nobbys Nuts,"Nobbys Nuts, Nuts, Ruby Port "
29,& FAN CUP BECKS BLUE RETAIL,"& FAN CUP BECKS BLUE RETAIL, BRATWURST PLATTER, CHICKEN DIPPERS £1.65, COCKBURN'S PORT, FALAFEL & SPINACH PITTA PLATTER, KUKI PINOT NOIR BTL, SQUADDIE BAR BAKEWELL, TURKEY + GARN. PLATE, WALKERS CRISPS 95P"
30,Pasta Large ,"Extra Patty, Latte Regular, Pasta Large "
31,Chicken and Bacon,"Add Chicken., Belgian Milk Choc Cookie, Book Chicken, CC Cheese & Onion Lattice Bake      , CC Mocha Medio, Chicken & bacon, Chicken Tikka Mango, Chicken and Bacon, Chicken binagoogan, Juice'd Buzzin, Walkers Cheese & Onion Baked, Wicked Cake Co"
32,Garlic Bread Slice,"Bacardi, Bacardi 25ml, Barbican Beer, Builder Garlic Bread, Cheesy Garlic Bread, Filled Bagel Slice, Garlic Bread Slice, Salad Glass  - Large , Side Leaf Salad, Special Salad Grab n Go, Vegetarian Lasagne w/ Salad & Garlic Bread, W Cheese Garlic Bread"
33,HH Venti Chai Tea,"Charred Tender Stem, HH Venti Chai Tea, Thai Curry Vegetarian HO, Venti Caffe latte , Vit Hit"
34,Buzzer 1,"Burger, Buzzer 1, Buzzer 15, Buzzer 3"
35,Bread Roll,"Brandy 5cl Bottle, Bread Roll, Brown Bread, Btl - Barolo, H-Hero Rosado Rose 175ml, Nakd Bar, Rare Beef Salad, Rope Lead, Walkers Baked, bread roll"
36,Bacon Bap,"*Banana, 1 x Bacon, Add Bacon , Bacon Bap, Bap"
37,Egg,Egg
38,Lemonade 200ml Btl,"Bagel jambon 220g, Beefeater Blood Orange 25ml, Fever-Tree Elderflower 220ml, LBPConBloom400, Lemonade 200ml Btl, Nivea Body Lotion 250 ml"
39,Fresh Fruit,"Fish Finger & Fries, Fresh Fruit, Freshers T-Shirt M, Fries, Fruit, Juice Burst, Porridge With Dry Fruits"
40,Cadbury Shortcake bisc,"Cadbury Shortcake bisc, Cake Choc Shortbread, Caviar d'artichaut, Curry Sauce/Custard, FD Strawberry Ice Cream, Grenade Dark Chocolate Raspberry, Mature Cheddar Cheese & Pickle, Monster Energy Hydrosport Striker, Pulled Pork Ciabatta, Roast Chicken & Sweetcure Bacon, Salt Huckerback, Seabass Sticks 50g, Shake Baby Shake Passionfruit Martini, Short bread Gift, Sugarfree Spritz Cookies , Volvic Still Water Drink With Natural Strawberry, Walkers Choc Chip Shortbread 40g"
41,Btl - Pinot Grigio Rose,"B43 Esprit Gassier Rose 75cl, Btl - Pinot Grigio Rose, Btl - Viento Aliseo, Canyon Road Pinot Grigio, Guest Wine - Bottle, Henri Gaillard Provence Ros?, NW B37 Riesling, Pringle's, Uniball Rollerball Pen - Black"
42,Gordon Gin 25ml,"Adnams Gin 25ml, Gordon 50ML, Gordon Gin 25ml, Gordons 35ml, London Dry Gin 25ml, Rioja Crianza 125ml"
43,Medium Macciato,"Iced latte medium, Latte Medium, Macchiato SS, Massimo Mocha, Medio Xmas Hot Choc, Medium Capp GM , Medium Macciato, Muscadet Bottle"
44,Slice of Cake,"Cafe Glacé, Chai Small, Hooky Pale Ale Half, Melocake Milka, Slice of Cake, Spice Chip Stack, Tiffin Cake Slice"
45,CAPTAIN MORGANS GOLDEN RUM,"75CL WHISPERING ANGEL, 8OZ PINEAPPLE POT, ASPALLS CIDER PINT, BACON/TOMATO/MUSHROOM BAP, CAPTAIN MORGANS GOLDEN RUM, CLOUDY BAY SAUV BLANC BTL, INNOCENT GUAVA PINEAPPLE, JAM/MARMALADE PORTION 30p, MEDIUM CAPPUCCINO, MEDIUM HOUSE WHITE, MIXED GRILL PLATTER, ORANGE JUICE 500ML, PIMMS PRE MIX CAN, SAN GIORGIO PINOT GRI. BTL, SOMERSBY CIDER CAN, WHITLEY BLOOD ORANGE GIN SINGLE"
46,Dead Mans Finger Spiced 50ml,"Copper Dog 50ML, Dead Mans Finger Coconut 50ml, Dead Mans Finger Spiced 50ml, Dead mans finger 50ML, Jack Daniels  50ML, Magners 500ml can, Morgan Spiced Dbl, Spiced Rum 25ml, Yealands S. Blanc 125ml "
47,SOCO BLACK SINGLE,"BAILEYS, BEANS, BELLE VIGNE ROSE  187ML, BOWL 1 - CHEESE, BOX OFFICE, BUSHMILLS ORIGINAL WHISKY , CHICKEN & BACON PIZZA, COORS CAN, JACK DANIELS DOUBLE, KRAKEN DOUBLE, LA COUR SAUVIGNON BLANC, LG SALAD BOX, LITTLE TYKES LUNCH BAG, MEDIUM KUKI SAUV BLANC, MONKEY 47 GIN, SOCO BLACK SINGLE, THEAKSTON LIGHT PINT"
48,Apple,"1Apple, Apple, Green Apple"
49,Tesco Cheese Triple Sandwich,"Cad Twirl, Cheese & Spring Onion Sandwich, Hunters Quinoa Sweet Chilli 75 g, Main Dish +Salad +Lacnor, Schwepps Bitter Lemon 125ml, Slimline Tonic Schweppes, Small Macaroni Cheese & Egg Salad, Tesco Cheese Triple Sandwich, Tesco Coronation Chicken Sandwich, Twisted Peach Bellini , ZZ Traditional Decaf Tea Eatwell"
50,Pepperoni Pizza Slice With Sides,"Apple & Strawberry Bircher Pot 8oz, Goats Cheese, Walnut & Grape Salad, HD Add Espresso Single Shot, Hospitality Open Price, Lipton Iced Tea Peach, Pepperoni Pizza Slice With Sides, Pizza 9 Inch, Poppin Chicken + South Carolina Mustard BBQ, Soho Hoisin Duck Wrap, Soho Mezze Grain Salad, Sweet & Spicy Pakora on White, Whitelnds Salad Pot "
51,Tuna Melt Toastie,"Additional Tuna, Deli Toastie STD, Delia Infusions Tea, Double Meat, Egg Mayonnaise & Tomato Baguette, Extra Melitzanosalata, Foul Masala, Tea (Venues), Tuna Melt Toastie, Veuve Cliquot Rose"
52,Hash Browns,"Hash Brown, Hash Browns, Hash brown Muffin, Honeydew, Jobsworth Half"
53,Sausage,"Sausage, Suso"
54,Fresh Fruit Salad,"2 Slices Bread & Butter, 63. Chateau Guiraud, Add Sweet Pot Fries, Carvery With Salad Meat, Fish Platter, Fresh Fruit Salad, Fruit salad, Half Filled Baguette, Meat/Fish Salad, SB Tall Fruit Tea, Small Premium Salad, Sweet Ideas Jelly Mix"
55,J2O Orange & Passion,"J20 Orange & Passionfruit, J2O Orange & Passion, Jammie Dodgers, Onion Rings"
56,Propercorn,"*cornetto, Open Price, Proper Corn, Propercorn, Scone"
57,Nachos with Salsa & Cheese,"Chk & Mush Slice, Chocolate Twist, Chocolate Twist £1.50, Clubhouse Scampi & Chips, Nacho & Cheese, Nachos with Salsa & Cheese, Salades Jooti [BIO & VEGAN] 2, Selection of Cheeses, Spicy Nachos (LC)"
58,Dr Pepper,"Dr Pepper, Dr Pepper zero, Dr pepper can, I Paper, Pre 16"
59,Breakfast Panini,"Beans, Breakfast Bap, Breakfast Bar, Breakfast Marmite Portions, Breakfast Panini, Drawstring Back Pack, Guinness Half Pint , Ice Breaker Pint, Magners Dark Fruits Pint, Roast Loin of Pork, W Paneer Tikka"
60,Fever Tree Ginger Beer,"Fever Tree Ginger Beer, Fevere Tree Ginger Ale, Ginger Beer, Gingerbread"
61,Hot Chocolate ,"Chocolate 8oz, Chocolate Bar, Chocolate Milk 8oz, Coca Cola , Eco Cup Half, Hot Choc, Hot Choc 16oz, Hot Chocolate , R Hot Chocolate"
62,Dash of Blackcurrent,"Aftershock Blue 25ml, Bounty Dark, Brockmans Dbl, Cheese & Bacon Turnover, Dash of Blackcurrent, Gluten free flapjack dark chocolate, Muller Corner Banana Chocolate Flakes, Out of Hours Voucher"
63,JD Sgl,"CK Dry Sgl, JD Sgl"
