,Exemplar,Cluster
0,Poriddge with Shredded Carrot,Poriddge with Shredded Carrot
1,Champagne Bottle,"Birra Moretti Bottle, Champagne Bottle, Coca Cola 1.5L Bottle, Diet Pepsi Bottle Splash, Grab and go salad 2, Liptons Ice Tea Bottle, Malibu + bottle , Millionaire Brownie , Ruinart Blanc Bottle, Schweppes Tonic Bottle , Tennent's Lager Bottle"
2,Breakfast Bap,"Breakfast Bap, Breakfast Box 1, Breakfast Extra (80p), Breakfast Pot - Meat, Breakfast Roll, English Breakfast Tea, Extra Breakfast Item, Full Breakfast, Haribo Tangfastics 160g, Veggie Breakfast Brunch "
3,Sausage Roll,"4 x Fudge Cone, Baguette 2.60, Franco's Cola Ice Lolly, Sausage & chips, Sausage Roll, Sausage Roll & Chips, Soup & Roll, Spring Rolls, Taittenger Rose, VW CLOAKROOM, Walls Mint Magnum Lolly"
4,Disaronno Single,"Brighton Gin Single, De Martino Estate, Disaronno Amaretto, Disaronno Single"
5,Jack Rabbit Chard - Bottle (Small),Jack Rabbit Chard - Bottle (Small)
6,Guinness Can,"% Tanqueray Gin, 1/2 Guinness Draught, Baileys Dbl, Budweiser cans, Guinness Can, Guinness Shandy, Guinness Surger Can 520ml, Iron Bru Can"
7,Crispy Chicken Sub,"Brazilian Chicken Stew , CC jerk chicken pattie, Chilli Chicken, Complete Puppy Chicken 454g, Coronation Chicken Baguette, Creamy Chicken Korma, Crispy Chicken Sub, Pasty- Chicken"
8,Rose Wine 187Ml ,"House red 175ml , Moet Rose 125ml Glass, Rose Wine 18.7ml, Rose Wine 187Ml , White Wine Single Serve , Wine White Small 187ml PET"
9,Coke Can,"*Coke 330ml, Barr Cherryade Can, Bounce Ball, COKE CLASSICS, COSTA M HOTCHOC, Cell Count Can, Cherry Danish, Chick Off, Coca Cola , Coke Can, Coke Diet Can 330ml, Cold Can, Croissant, Diet Coke Can, Honey Nut Crunch, Kids Walk in, Kit Kat, Large Capp GM, Loaf Cake, Love Corn, Mackies C&O, Monster Can, NOC Quorn Wrap , Pepsi Can, Pork Loin, Vimto Can, Yorkie Bar Raisin, ZZZZMeat Main, Zero Can, vimto can"
10,Ladies Who Shoot Their Lunch,Ladies Who Shoot Their Lunch
11,Strawberry Frappuccino Grande,Strawberry Frappuccino Grande
12,Dr Pepper 500ml,"Capri Sun Orange 200ml, Diet Coke 500ml, Dr Pepper 500ml, Frais de perso 50.-, IMPurple150ml, Milk - 500ml, PET Water 500ml Spark, Pep Orig 500ml, Valser Silence PET 50cl, dr pepper zero 500ml, with Pineapple 200ml"
13,Smirnoff Red 25ml,"Lugger Spiced Rum 25ml, Shipyard Can 440ml, Smirnoff Ice, Smirnoff Red 25ml, Smirnoff Vodka Double, Whitley Neil 25ml"
14,Yoghurt Pot,"Fruit Yoghurt Small, LOYouthfull200m, Peroni Draught Pint, Veggie Hot Box, Yoghurt Pot, Yoghurt with fruit, Yoghurts, £1.00 protein pot"
15,Apple & Cinnamon Porridge,Apple & Cinnamon Porridge
16,Galanti Prosecco 125ml,"Galanti Prosecco 125ml, Gamay Noir Jean 125ml, Grahams 6 Grape Port 50ml, Parini, Pinot Grigio 125ml"
17,Pinot Grigio Primi Soli 750ml Bottle,Pinot Grigio Primi Soli 750ml Bottle
