,Exemplar,Cluster
0,7up,7up
1,Choc Pastry,"54 north cans, Berry Bircher Pot , Choc Bar, Choc Pastry, Disco Party, Fish, Chips & Gravy - Hip Hop , McCoys, Nacho Pot, PROMO - Pastry & FREE COFFEE, Paratha 1pcs"
2,Hash Brown,"Hash Brown, Hash Brown "
3,Malibu 25ml,"Absolut Vodka 25ml, Malibu 25ml, Red bull 355ml, Sambuca 25ml, Tia Maria  25ML"
4,Open Food,"Open Food, Open Item"
5,BLT,BLT
6,Eat Natural Bar,"Eat Natural Bar, Eat Natural Fruit & Nut Bar, Eat natural Bars, Perkier/ Eat Natural Bars"
7,Grilled Bacon Rasher,"6.Heidsieck Rose Bottle, Bread Roll, Cheese & Onion Real Crsi, Choc Brownies - LRG, Grilled Bacon Rasher, Guinness Shandy, Headliner Rose Wine, Healy & Gray Zinfandel Rose 175ml, Henri Gaillard Provence Ros?, Pasta Bar * Cheesy Broccoli Bake w/ Garlic Bread, Salad Bar Reusable P&G gift, Yellows Black Friday Meal, chefs salad"
8,Tuna Salad  - Small,"Add Tuna, Fever-Tree Indian 220ml, Tea - medium , Tuna Mayo , Tuna Salad  - Small, ZZZ Tuna Salad"
9,Hula Hoops,"Hog Lumps x 3 , Hospitality Food, House Top , Hula Hoops, Old Mout Jug 4pts"
10,Enhancement 0.50,"Enhancement 0.50, Enhancement 0.80, LynxAPLeath250ml, PET Fanta 500ml"
11,Special Fries,"*Eat Real crisps, Alcohol Free Ghost Ship Btl, Classic Caesar, Curly Fries Small, Filled Wrap, Fried rice vegetable eggs, Frobishers Apple, Jacket Filler, Juice Burst Apple SS, Simply Wafers, Special Fries, Special Rice Only "
12,Pain au Chocolat,"Alpen Fruit, Nut & Chocoltae, Chilli Cashews & Peanut, Chocolate Muffin, Fruit Punch ( Cocktail), Oasis Citrus Punch 500ml, Pain Au Chocolat, Pain au Choc, Pain au Chocolat, St. Simon Pint (+Eco Cup), Van Coffee Public"
13,Fanta Lemon,"Fanta Lemon, Fentimans - Rose lemonade, Jamesons , Lamb, Lamb Keema, Lemon Loaf, Lemonade 200 ml, OJ & Lemonade Pint"
14,Tea 12oz,"12oz ALMOND Latte, 12oz Frappe, Iced Latte 12oz, Mocha 12oz, R CUP - 12 oz, Smoothie 12oz, Tea 12oz, Tomato & Pesto Soup 12oz"
15,Cinnamon Classics,"Cinnamon Classics, Ciroc (50ml), Classic Soup 16oz, Coca Cola Classic 500ml BTL, Coca cola 500ml , Gammon Eggs & Chips , Mocha - small, Nachos & 1 Filling, Rio Tropical Can, VasHanNaiHC5ml"
16,Hot soup and roll (£1.50),"Haribos £1.00, Harrogate Spring (1.5lt), Hot Chicken Cob/salad/dressing (£2.80), Hot soup and roll (£1.50), Lymstn Half £1.00, Soft Rolls 1.50"
